,params._lambda,params.optimizer,params.lr,params.max_iter,params.sample_num,params.kappa,metrics.success_rate,metrics.mean_l2_distance,metrics.mean_linf_distance,metrics.perturbed_features_latent,metrics.perturbed_features_input,metrics.mean_confidence_successful,metrics.mean_confidence_unsuccessful,metrics.min_confidence_unsuccessful,metrics.max_confidence_unsuccessful,metrics.mean_md_distance,metrics.outlier_rate,metrics.outliers,attack,dataset,model,params.epsilon,params.alpha,params.num_steps,params.p_norm
64,,,,,500,,0.224,0.37770751118659973,0.10000002384185791,16.0,4.3125,0.6594115431549393,0.16355455106066674,0.0,0.49772119522094727,3.5525199150109805,0.08928571428571429,10/112,pgd,adult,MLP,0.1,0.03,70.0,
65,,,,,500,,0.23,0.3773585259914398,0.10000003129243851,15.721739130434782,4.304347826086956,0.6528479042078328,0.15953701332017972,0.0,0.4983058571815491,3.5101529705376553,0.0782608695652174,9/115,pgd,adult,MLP,0.1,0.05,10.0,
66,,,,,500,,0.23,0.38076716661453247,0.10000003129243851,15.678260869565218,4.2956521739130435,0.6565507120311098,0.1600218899838336,0.0,0.495017945766449,3.5305477032531978,0.09565217391304348,11/115,pgd,adult,MLP,0.1,0.05,30.0,
67,,,,,500,,0.226,0.3801223337650299,0.10000002384185791,15.787610619469026,4.265486725663717,0.6565915500473198,0.16145932350971903,0.0,0.495017945766449,3.548507995360538,0.08849557522123894,10/113,pgd,adult,MLP,0.1,0.05,50.0,
68,,,,,500,,0.224,0.3802991509437561,0.10000002384185791,15.758928571428571,4.25,0.6577751955108917,0.16245350932952055,0.0,0.4996354579925537,3.5334069431924795,0.08035714285714286,9/112,pgd,adult,MLP,0.1,0.05,70.0,
69,,,,,500,,0.226,0.38010796904563904,0.10000002384185791,16.0,4.212389380530974,0.6543639300358111,0.16041094819396656,0.0,0.49520647525787354,3.4593200328063944,0.07079646017699115,8/113,pgd,adult,MLP,0.1,0.07,10.0,
70,,,,,500,,0.228,0.3810035288333893,0.10000003129243851,16.0,4.342105263157895,0.6597753122567379,0.163156515421645,0.0,0.495017945766449,3.5130683119565203,0.09649122807017543,11/114,pgd,adult,MLP,0.1,0.07,30.0,
71,,,,,500,,0.23,0.3825889527797699,0.10000003129243851,16.0,4.243478260869566,0.6544228487931516,0.1624946132882849,0.0,0.49757516384124756,3.530325387500953,0.0782608695652174,9/115,pgd,adult,MLP,0.1,0.07,50.0,
72,,,,,500,,0.218,0.3808099925518036,0.1000000387430191,16.0,4.229357798165138,0.6502465336891148,0.1646060024380989,0.0,0.4966227412223816,3.5152144607530262,0.08256880733944955,9/109,pgd,adult,MLP,0.1,0.07,70.0,
73,,,,,500,,0.324,0.6791740655899048,0.20000006258487701,16.0,4.746913580246914,0.7727280531673588,0.16726965329350804,0.0,0.49978893995285034,3.8410742013704104,0.09876543209876543,16/162,pgd,adult,MLP,0.2,0.03,10.0,
74,,,,,500,,0.34,0.7444186806678772,0.20000004768371582,16.0,4.852941176470588,0.7905083244899288,0.17005727345293217,0.0,0.4976886510848999,3.960537604548338,0.1411764705882353,24/170,pgd,adult,MLP,0.2,0.03,30.0,
75,,,,,500,,0.35,0.7440126538276672,0.20000006258487701,16.0,4.817142857142857,0.7670537590884071,0.17032680071317233,0.0,0.4997848868370056,4.017440794857205,0.14285714285714285,25/175,pgd,adult,MLP,0.2,0.03,50.0,
76,,,,,500,,0.362,0.7443556189537048,0.20000006258487701,16.0,4.850828729281768,0.7759696376996851,0.16958244579339102,0.0,0.4998137950897217,3.9591693538557755,0.1270718232044199,23/181,pgd,adult,MLP,0.2,0.03,70.0,
77,,,,,500,,0.354,0.7238605618476868,0.20000004768371582,15.824858757062147,4.875706214689266,0.779746911434212,0.16474190935630917,0.0,0.49818605184555054,3.930182760843477,0.1016949152542373,18/177,pgd,adult,MLP,0.2,0.05,10.0,
78,,,,,500,,0.358,0.7417842149734497,0.20000003278255463,15.865921787709498,4.93854748603352,0.7914068468003508,0.16841469598336384,0.0,0.49983489513397217,3.9432151534851307,0.13966480446927373,25/179,pgd,adult,MLP,0.2,0.05,30.0,
79,,,,,500,,0.366,0.7403780221939087,0.2000000774860382,15.792349726775956,4.907103825136612,0.7871896688402706,0.16611980564586748,0.0,0.49830538034439087,3.9546140734619657,0.12021857923497267,22/183,pgd,adult,MLP,0.2,0.05,50.0,
80,,,,,500,,0.378,0.7408122420310974,0.20000006258487701,15.814814814814815,4.98941798941799,0.7868273803839835,0.16008369083189888,0.0,0.4979887008666992,3.95207475350328,0.12698412698412698,24/189,pgd,adult,MLP,0.2,0.05,70.0,
81,,,,,500,,0.35,0.7358590364456177,0.20000006258487701,16.0,4.9714285714285715,0.778902423996811,0.1694389684383686,0.0,0.4988653063774109,3.9789221556724015,0.13714285714285715,24/175,pgd,adult,MLP,0.2,0.07,10.0,
82,,,,,500,,0.36,0.7391077876091003,0.20000004768371582,16.0,4.877777777777778,0.7816205138929136,0.16508146561682224,0.0,0.49789363145828247,3.926989633916138,0.11666666666666667,21/180,pgd,adult,MLP,0.2,0.07,30.0,
